INFO  - 2013-12-09 23:03:32.205; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-12-09 23:03:32.227; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/xinghao/Downloads/solr-4.6.0/example/contexts at interval 0
INFO  - 2013-12-09 23:03:32.233; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/xinghao/Downloads/solr-4.6.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-12-09 23:03:32.273; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/xinghao/Downloads/solr-4.6.0/example/webapps/solr.war!/ to /Users/xinghao/Downloads/solr-4.6.0/example/solr-webapp/webapp
INFO  - 2013-12-09 23:03:34.023; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-12-09 23:03:34.076; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-12-09 23:03:34.127; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-12-09 23:03:34.128; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-12-09 23:03:34.128; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-12-09 23:03:34.238; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/xinghao/Downloads/solr-4.6.0/example/solr/solr.xml
INFO  - 2013-12-09 23:03:34.409; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2013-12-09 23:03:34.433; org.apache.solr.core.CoreContainer; New CoreContainer 200426125
INFO  - 2013-12-09 23:03:34.433; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2013-12-09 23:03:34.444; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-12-09 23:03:34.445; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-12-09 23:03:34.445; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-12-09 23:03:34.447; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-12-09 23:03:34.447; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-12-09 23:03:34.447; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-12-09 23:03:34.448; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-12-09 23:03:34.448; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-12-09 23:03:34.448; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-12-09 23:03:34.606; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2013-12-09 23:03:34.607; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2013-12-09 23:03:34.638; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/xinghao/Downloads/solr-4.6.0/example/solr
INFO  - 2013-12-09 23:03:34.652; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1/
INFO  - 2013-12-09 23:03:34.652; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2013-12-09 23:03:34.654; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1
INFO  - 2013-12-09 23:03:34.654; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1/'
INFO  - 2013-12-09 23:03:34.721; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2013-12-09 23:03:34.722; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2013-12-09 23:03:34.723; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2013-12-09 23:03:34.723; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2013-12-09 23:03:34.723; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2013-12-09 23:03:34.723; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.724; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2013-12-09 23:03:34.724; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2013-12-09 23:03:34.724; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2013-12-09 23:03:34.724; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2013-12-09 23:03:34.725; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2013-12-09 23:03:34.725; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.725; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2013-12-09 23:03:34.725; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2013-12-09 23:03:34.726; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2013-12-09 23:03:34.726; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2013-12-09 23:03:34.726; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2013-12-09 23:03:34.726; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2013-12-09 23:03:34.726; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2013-12-09 23:03:34.727; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2013-12-09 23:03:34.727; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2013-12-09 23:03:34.727; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2013-12-09 23:03:34.727; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-12-09 23:03:34.728; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2013-12-09 23:03:34.728; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2013-12-09 23:03:34.728; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-12-09 23:03:34.728; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-12-09 23:03:34.728; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-12-09 23:03:34.729; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.729; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.730; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/dist/solr-cell-4.6.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2013-12-09 23:03:34.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
